,pdfId,pdfName,filingId,totalPages,application_id,submitter,company,consultant_name
0,337444,A0L2F6 - 002 Ekwan Post Construction Monitoring - Sept. 04,337440,11,268876,EnCana Ekwan Pipeline Inc.,EnCana Ekwan Pipeline Inc.,['AXYS Environmental Consulting']
1,340413,A0L3K4 - Kwoen Facilities and Re-injection Extension Pipeline Post-Construction Environmental Report,340412,19,139307,"Westcoast Energy Inc., a Duke Energy company",Westcoast Energy Inc.,['Jacques Whitford']
2,399963,A0T5H7 - Kwoen Re-injection Pipeline - 3rd Year Post-Construction Environmental Report,399962,25,139307,"Westcoast Energy Inc., carrying on business as Duke Energy Gas Transmission",Westcoast Energy Inc.,[]
3,408901,A0U3V0 - 002 Post Construction Monitoring - August 2005_EnCana August 2005 Monitoring Report - May 2006,409162,29,268876,Alan K. Haskey,EnCana Ekwan Pipeline Inc.,['AXYS Environmental Consulting']
4,476639,B-14R Appendix MPLA-SAPL IR 43 b) - TERA Post Construction (A1A3A2),476698,301,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
5,485515,A1C1E9 - 2007 PCM Report Year 1,485763,22,438887,Husky Oil Operations Limited,Husky Oil Operations Limited,['TERA Environmental Consultants']
6,485680,A1C1E6 - 2007 PCM Report Year 1,485676,15,401233,ConocoPhillips Canada,Burlington Resources Canada (Hunter) Ltd.,['TERA Environmental Consultants']
7,495406,A1D2H0 - Stittsville Post-Construction Monitoring Report - Part 1 of 3,495396,16,379850,TransCanada PipeLines Limited,TransCanada PipeLines Limited,[]
8,538748,A1H6G5 - Post-Construction Monitoring Report Year 1,538744,12,485442,ConocoPhillips Canada,Burlington Resources Canada (Hunter) Ltd.,['TERA Environmental Consultants']
9,538758,A1H6G8 - Post-Construction Monitoring Report Year 2,538754,17,401233,ConocoPhillips Canada,Burlington Resources Canada (Hunter) Ltd.,['TERA Environmental Consultants']
10,541478,A1H9Y3 - Year One Post-Construction Environmental Monitoring Report,541474,46,309814,Chantal St. Pierre,New Brunswick Power Transmission Corporation (formerly New Brunswick Power Corporation),[]
11,542497,A1I1H3 - PCM Report Year 1,542626,23,542412,EnCana Oil and Gas Co. Ltd.,EnCana Corporation (previously PanCanadian Energy Corp.),[]
12,542507,A1I1H6 - PCM Report Year 1,542503,23,542410,EnCana Oil and Gas Co. Ltd.,EnCana Corporation (previously PanCanadian Energy Corp.),[]
13,543507,A1I2L8 - PCM Report Year 2,543503,17,438887,Husky Oil Operations Ltd.,Husky Oil Operations Limited,['TERA Environmental Consultants']
14,546501,A1I6K1 - TMX Anchor Loop As Built Report Pipeline,546497,75,399196,Trans Mountain Pipeline Inc.,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
15,546504,A1I6K2 - TMX Anchor Loop As Built Report Facilities,546497,60,399196,Trans Mountain Pipeline Inc.,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
16,550970,A1J1L7 - TMX Anchor Loop As Built Report Revisions,550966,17,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Aquatic Research', 'TERA Environmental Consultants']"
17,564103,A1K6I3 - Post-Construction Environmental Report 1 - Brunswick Pipeline Project,563853,194,408789,Emera Brunswick Pipeline Company Ltd,Emera Brunswick Pipeline Company Ltd.,['Jacques Whitford']
18,579444,A1Q4C7 - Year 2 PCM_rep,579440,13,485442,ConocoPhillips Canada,Burlington Resources Canada (Hunter) Ltd.,['TERA Environmental Consultants']
19,582330,A1Q7Q1 - PCEM Year 1_rep,582277,20,343008,Spectra Energy Transmission,806026 Alberta Ltd.,['TERA Environmental Consultants']
20,587012,A1R0T7 - Tupper South_Year 2 PCM_rep,587008,26,376486,EnCana Corporation,EnCana Oil & Gas Co. Ltd.,[]
21,587053,A1R0U0 - Mid Tupper_Year 2 PCM_rep,587052,22,371483,EnCana Corporation,EnCana Oil & Gas Co. Ltd.,[]
22,587541,A1R1Q7 - TM AL Post Construction Monitoring Report Part 1,587537,15,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
23,587746,A1R1Q8 - TM AL Post Construction Monitoring Report Part 2,587537,41,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
24,587755,A1R1R1 - TM AL Post Construction Monitoring Report Part 5,587537,43,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
25,587758,A1R1R2 - TM AL Post Construction Monitoring Report Part 6,587537,41,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
26,587761,A1R1R3 - TM AL Post Construction Monitoring Report Part 7,587537,43,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
27,587764,A1R1R4 - TM AL Post Construction Monitoring Report Part 8,587537,18,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['B.A. Blackwell & Associates', 'TERA Environmental Consultants']"
28,588209,A1R2H1 - Murphy Tupper Pipeline PCMP - 2009 Report Body,588202,29,485571,"Angela Pohl, Murphy Oil Company",Murphy Oil Company Ltd,['Golder Associates']
29,588320,A1R2H4 - Murphy Tupper Pipeline PCMP - 2009 Report Appendicies II to V,588202,157,485571,"Angela Pohl, Murphy Oil Company",Murphy Oil Company Ltd,['Golder Associates']
30,590448,A1R3S1 - Post Construction Environmental Monitoring Report - Year 1 (2009) - Line 4 Extension Project,590444,286,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,[]
31,590867,A1R3S5 - Post Construction Environmental Monitoring Report - Year 1 (2009) - Southern Lights LSr Pipeline,590454,517,456607,"Enbridge Southern Lights GP Inc., on behalf of Enbridge Southern Lights LP, and Enbridge Pipelines Inc.",Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),[]
32,594994,A1R7K0 - Addendum to Post-Construction Environmental Report #1,594990,61,408789,Emera Brunswick Pipeline Company Ltd,Emera Brunswick Pipeline Company Ltd.,['Stantec Consulting']
33,601829,A1R9K4 - Environmental Report,601828,50,309814,Énergie NB Power,New Brunswick Power Transmission Corporation (formerly New Brunswick Power Corporation),[]
34,659769,A1X0H2 - PCMP Murphy Tupper PL - Dec2010 - Report Body,659952,23,485571,Murphy Oil Company Limited,Murphy Oil Company Ltd,['Golder Associates']
35,659956,A1X0H6 - PCMP Murphy Tupper PL - Dec2010 - Appendix C and D,659952,24,485571,Murphy Oil Company Limited,Murphy Oil Company Ltd,['Golder Associates']
36,664705,A1X3E0 - Year 2 Post-Construction Environmental Monitoring Report,664701,18,343008,Spectra Energy Transmission,806026 Alberta Ltd.,['TERA Environmental Consultants']
37,664925,A1X3D7 - Year 1 Post-Construction Environmental Monitoring Report,664824,24,522398,ARC Resources Ltd,ARC Resources Ltd.,['TERA Environmental Consultants']
38,665506,A1X4H2 - Post Construction Environmental Monitoring Report - Year 1 - Spread 2 - Alberta Clipper Project,665691,142,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
39,665524,A1X4J5 - PCEM Report - Year 2 (2010) re Southern Lights Project LSr Pipeline,665760,115,456607,"Enbridge Southern Lights GP Inc., on behalf of Enbridge Southern Lights LP, and Enbridge Pipelines",Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),['TERA Environmental Consultants']
40,665622,A1X4H3 - Post Construction Environmental Monitoring Report - Year 1 - Spread 3 - Alberta Clipper Project,665691,133,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
41,665625,A1X4H4 - Post Construction Environmental Monitoring Report - Year 1 - Spread 4 - Alberta Clipper Project,665691,132,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
42,665628,A1X4H5 - Post Construction Environmental Monitoring Report - Year 1 - Spread 5 - Alberta Clipper Project,665691,281,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
43,665695,A1X4H0 - Post Construction Environmental Monitoring Report - Year 1  - Alberta Clipper Project,665691,264,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
44,665698,A1X4H1 - Post Construction Environmental Monitoring Report - Year 1 - Facilities - Alberta Clipper Project,665691,38,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
45,665706,A1X4I9 - Post Construction Environmental Monitoring Report - Year 2 (2010) - Line 4 Extension Project,665705,63,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
46,665732,A1X4H6 - Post Construction Environmental Monitoring Report - Year 1 - Spread 6 - Alberta Clipper Project,665691,168,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
47,665735,A1X4H7 -  Post Construction Environmental Monitoring Report - Year 1 - Spread 7 - Alberta Clipper Project,665691,178,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
48,665738,A1X4H8 - Post Construction Environmental Monitoring Report - Year 1 - Spread 8 - Alberta Clipper Project,665691,716,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
49,665741,A1X4H9 - Post Construction Environmental Monitoring Report - Year 1 - Spread 10 - Alberta Clipper Project,665691,288,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
50,665744,A1X4I0 - Post Construction Environmental Monitoring Report - Year 1 - Spread 12 - Alberta Clipper Project,665691,246,465178,Enbridge Pipelines Inc,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
51,665868,A1X4S6 - Year 1 Post Construction Environmental Monitoring Report,665981,56,446070,TransCanada Keystone Pipeline GP Ltd,TransCanada Keystone Pipeline GP Ltd.,[]
52,666789,A1X5R1 - REVISED - Year 1 Post Construction Environmental Monitoring Report,666788,58,446070,TransCanada Keystone Pipeline GP Ltd,TransCanada Keystone Pipeline GP Ltd.,[]
53,666983,A1X5V0 - 2011-02-07 - Year 1 Post Construction Environmental Monitoring Report - Revised Table 7,666821,11,446070,TransCanada Keystone Pipeline GP Ltd,TransCanada Keystone Pipeline GP Ltd.,[]
54,774795,A2K1E1 - DMJW-O00-RP-EH-90-0003-03U 2011 Onshore Pipeline EEM Report,774744,104,441384,Encana Corporation,EnCana Corporation (previously PanCanadian Energy Corp.),['Stantec Consulting']
55,775890,A2K2R0 - 1114920191-001-R-RevA-3rdPCMP 9DEC_11_Part14,775971,3,485571,Murphy Oil Company Ltd.,Murphy Oil Company Ltd,['Golder Associates']
56,775972,A2K2L7 - 1114920191-001-R-RevA-3rdPCMP 9DEC_11_Part1,775971,3,485571,Murphy Oil Company Ltd.,Murphy Oil Company Ltd,['Golder Associates']
57,775975,A2K2L8 - 1114920191-001-R-RevA-3rdPCMP 9DEC_11_Part2,775971,3,485571,Murphy Oil Company Ltd.,Murphy Oil Company Ltd,['Golder Associates']
58,775978,A2K2L9 - 1114920191-001-R-RevA-3rdPCMP 9DEC_11_Part3,775971,3,485571,Murphy Oil Company Ltd.,Murphy Oil Company Ltd,['Golder Associates']
59,775981,A2K2Q0 - 1114920191-001-R-RevA-3rdPCMP 9DEC_11_Part4,775971,3,485571,Murphy Oil Company Ltd.,Murphy Oil Company Ltd,['Golder Associates']
60,779239,A2K6J9 - 2011 TM Anchor Loop Post Construction Monitoring Report 1 of 14,779235,25,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
61,779242,A2K6K6 - 2011 TM Anchor Loop Post Construction Monitoring Report 8 of 14,779235,29,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
62,779245,A2K6K7 - 2011 TM Anchor Loop Post Construction Monitoring Report 9 of 14,779235,21,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
63,779302,A2K6K4 - 2011 TM Anchor Loop Post Construction Monitoring Report 6 of 14,779235,22,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
64,779305,A2K6K5 - 2011 TM Anchor Loop Post Construction Monitoring Report 7 of 14,779235,33,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
65,779359,A2K6K3 - 2011 TM Anchor Loop Post Construction Monitoring Report 5 of 14,779235,64,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
66,779362,A2K6L0 - 2011 TM Anchor Loop Post Construction Monitoring Report 12 of 14,779235,39,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),"['Applied Geomarine Environmental Consultants', 'Westland Resource Group', 'TERA Environmental Consultants', 'B.A. Blackwell and Associates']"
67,781319,A2K9D8 - C111122 - PCMR (Year One) Report Body,781518,16,582653,Lone Pine Resources Ltd.,Canadian Forest Oil Ltd,['Roy Northern Environmental']
68,782002,A2L0D2 - SLR Site Assessment and Recommendations - Area of Concern - Alberta Clipper,781909,29,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,[]
69,786043,A2L6J2 - Appendix B - 2011 Environmental Issues List - LSr Pipeline Southern Lights Project,786042,46,456607,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),[]
70,786064,A2L6L8 - Appendix D1 - Assurance of  Voluntary Compliance,786189,47,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
71,786154,A2L6J1 - Appendix A - Summary of Post Construction Monitoring Table - LSr Pipeline Southern Lights Project,786042,10,456607,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),[]
72,786212,A2L6F5 - Post Construction Environmental Monitoring Report - Year 3 - Line 4 Extension Project,786208,59,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
73,786267,A2L6L5 - Appendix A - Summary of 2011 Post Construction Monitoring for Alberta Clipper Project,786189,28,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
74,786270,A2L6L6 - Appendix B - 2011 Environmental Issues List for Alberta Clipper Project,786189,128,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
75,786777,A2L7Q4 - Albright Crossover Post-Constr Monitoring Part 1,786776,21,558435,NOVA Gas Transmission Ltd. (NGTL),NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
76,786908,A2L7R5 - 2012-01-31 - Keystone Year 2 Post Construction Environmental Monitoring Report - part1,786796,80,446070,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
77,786948,A2L7R9 - 2012-01-31 - Keystone Year 1 Post Construction Environmental Monitoring Report,786947,32,486602,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
78,786964,A2L7S9 - Second Year Post-Construction Environmental Monitoring Report pursuant to condition 6 of Order XG-W102-04-2009,786960,30,554349,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['TERA Environmental Consultants']
79,807169,A2S0J6 - NGTL Doe Creek Lateral Loop_PCMP 1st Year Monitoring_April 2012,807057,26,605009,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
80,807172,A2S0J7 - Henderson Creek Lateral Loop No 3 PCMP Report Part 1 of 4,807057,18,605009,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
81,807181,A2S0K0 - Henderson Creek Lateral Loop No 3 PCMP Report Part 4 of 4,807057,5,605009,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
82,807339,A2S0X0 - Final Post Construction Environmental Monitoring Report for Saddle Hills Pipeline Loop,807162,24,506603,ARC Resources Ltd.,ARC Resources Ltd.,['TERA Environmental Consultants']
83,807947,A2S1R3 - Bear River West Lateral Loop - First Year Post-Construction Monitoring Report,807946,29,618920,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
84,877194,A3C6L8 - Horn River PCMP Report - Part 1,877284,30,601085,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
85,877517,A3C6Q4 - Horn River PCMP Report - Part 7,877284,15,601085,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
86,905316,A3E8G5 - 8154_2012_AnchorLoop_ PCM_NEB_Pt05of21,905821,107,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
87,905319,A3E8G6 - 8154_2012_AnchorLoop_ PCM_NEB_Pt06of21,905821,46,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
88,905322,A3E8G7 - 8154_2012_AnchorLoop_ PCM_NEB_Pt07of21,905821,18,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
89,905732,A3E8G8 - 8154_2012_AnchorLoop_ PCM_NEB_Pt08of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
90,905735,A3E8G9 - 8154_2012_AnchorLoop_ PCM_NEB_Pt09of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
91,905931,A3E8G1 - 8154_2012_AnchorLoop_ PCM_NEB_Pt01of21,905821,28,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
92,905937,A3E8H0 - 8154_2012_AnchorLoop_ PCM_NEB_Pt10of21,905821,20,399196,Trans Mountain Pipeline ULC,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.),['TERA Environmental Consultants']
93,911947,A3F0D9 - 2013-01-29 Keystone Year 2 Environmental Monitoring Report,912278,17,486602,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
94,911956,A3F0E3 - 2013-01-29 Keystone Year 3 Environmental Monitoring Report,912170,110,446070,TransCanada Keystone Pipeline GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,[]
95,912073,A3F0I0 - First Year Post-construction Environmental Monitoring Report pursuant to condition 5 of XG-W102-10-2010,912209,12,593411,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['TERA Environmental Consultants']
96,912394,A3F0J3 - Third Year Supplemental Report pursuant to condition 6 of XG-W102-04-2009,912327,22,554349,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['TERA Environmental Consultants']
97,913913,A3F0K7 - Southern Lights PCEM Report Year 4,914354,47,456607,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP),['TERA Environmental Consultants']
98,914319,A3F0X9 - Alberta Clipper PCEM Report Year 3,914519,99,465178,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
99,914657,A3F1Q5 - 2013-02-01 - Watino and Calais First PCMP Report,914753,25,639247,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
100,914700,A3F1E8 - Third Year Post-construction Environmental Monitoring Report,914919,11,487403,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (""Westcoast"")",Westcoast Energy Inc.,['Mentiga Pedology Consultants']
101,914733,A3F1K2 - Cut Bank Bald Mountain-Condition 6 First PCMP Report,915072,27,633450,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
102,914958,A3F1R1 - 04 - Albright_ Year 2_App C Summary of Findings Year 1,914877,4,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
103,914961,A3F1R2 - 05 - Albright_ Year 2_App D Wetlands,914877,16,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
104,915019,A3F1C0 - Line 4 PCEM Report Year 4,914793,41,469094,Enbridge Pipelines Inc.,Enbridge Pipelines Inc.,['TERA Environmental Consultants']
105,915065,A3F1J7 - Bear River Lateral Loop No 2 - Condition 6 Post Construction Environmental Monitoring Report,915064,26,674054,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
106,915079,A3F1L4 - Groundbirch Pipeline - Condition 24-Post Construction Environmental Monitoring Report,914744,38,555680,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['TERA Environmental Consultants']
107,915095,A3F1Q8 - 01 - Albright_ Year 2_ Report,914877,51,558435,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
108,920155,A3F5Z0 - 2013-02-22 - Kearl Ext Sales and MS - First PCEM Report,920247,19,609725,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
109,927382,A3F7Y8 - 2013-03-04 - Bear River Post-Construction Monitoring Program Report,927469,33,618920,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
110,961081,A3I2C0 - Groundbirch Mainline First PCMP Report Updates,961080,15,555680,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
111,1023037,A3K7F9 - Chinchaga Lateral Loop No. 3 - Condition 13-Preliminary PCM Program,1023108,21,737909,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,['Stantec Consulting']
112,1036748,A3L0S2 - Doe and Henderson Crk PCEMRs,1036533,40,605009,NOA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
113,1057028,A3Q2W5 - Gething Source Water Pipeline Post Construction Environmental Monitoring Report,1056522,23,699247,105755 Alberta Ltd.,1057533 Alberta Ltd,['TERA Environmental Consultants']
114,2385635,2013-12-10- Watino and Calais Second PCMP Report - A3R8A7,2384974,22,639247,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
115,2404629,NGTL Kearl Extension and MS_Second PCRM Report - A3T2U7,2407101,39,609725,NOVA Gas Transmission Ltd.,NOVA Gas Transmission Ltd.,[]
