legal location,land use,1st year (2013) issues,2nd year (2014) pcrm assessment and work completed,3rd year (2015) pcrm assessment and work completed,4th year (2016) pcrm assessment and work completed,5th year (2017) pcrm assessment and work completed,VEC,GIS,Topic
sw 33-83-6 w4,watercourse,none,"july 11, 2014 - vegetation cover is 80-90% of off-row - marker posts missing from creek crossing on both sides at 9+650 - creek crossing looks good at 9+650, crossing was hdd, so there was no disturbance during construction","june 10, 2015 - watercourse crossing in good condition, no marker posts installed, install in 2016. september 12, 2015 - watercourse crossings appeared to be stable and well vegetated at time of assessment. water was observed to be freely flowing and construction activities did not appear to be impacting water course.","july 11, 2016 - - meadow creek – kp 9+700 – slow moving, banks vegetated and stable.  september 21, 2016 - watercourse crossing located at kp 9+660. - banks are stable and well vegetated. no issues. - placed marker posts and transcanada sign, issue resolved.","august 2, 2017 - meadow creek – no issues noted.",,,
nw 33-83-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 5, 2014 - water has ponded on ditchline at screw anchor sites at multiple locations along the pipeline. july 12, 2014 - 80-85% vegetation establishment compared to off-row.  2013 vegetation issue resolved. - wetlands within tract are well vegetated and stable at this time.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment. ponded water noted at screw anchors sites was no longer evident, issue resolved. - wetlands stable throughout tract. june 10, 2015 - vegetation on row is 85% compared to off-row control. - roach stable with vegetation beginning to establish on it. cross drains are functioning well at this time. - wetlands within tract stable with good wet-tolerant vegetation establishment such as grasses and bulrushes. hydrology appears to be maintained through wetland as indicated by saturated, organic soils. september 12, 2015 - vegetation well established. - soils stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified.","july 11, 2016 - vegetation is well established with desirable species throughout row.  good establishment of vetch, grasses and shrubs.  - no erosion or subsidence issues. - there has been recent disturbance on the east and west side of row. - intermittent herbicide application conducted to control perennial sow thistle.  september 21, 2016 - 90% vegetation established compared to off-row. - intermittent herbicide application conducted to control patches of perennial sow thistle along row at kp 10+400, kp 10+500 and kp 10+650.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses and shrubs - no subsidence or erosion issues were observed.  - kp 10+410 to 10+650 - perennial sow thistle observed, recommend weed control. august 13, 2017 – kp 10+410 to 10+650 – intermittent herbicide application conducted to control perennial sow thistle, tansy and scentless chamomile.  issue resolved. september 11, 2017 - woody swamp on row from kp 9+760 to 9+910 and shrubby swamp from kp 9+980 to 10+080 appear to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids and willow. hydrophytic vegetation emerging throughout wetland (common cattail & bulrush) with submergent vegetation establishing in standing water areas. - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled due to influence from saturation. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through high moisture retention, uniform vegetation growth and good organic content in topsoil layer. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting fully saturated conditions; standing water present throughout wetland.  - wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
nw 33-83-6 w4,watercourse,none,"july 5, 2014 - transcanada pipeline markers have fallen over at kp 9+950.  july 12, 2104 • 80-85% vegetation establishment compared to off-row. - transcanada pipeline marker sign had fallen over at kp 9+950. sign and markers repositioned, issue resolved.","june 7, 2015 - no issues evident at watercourse. june 10, 2015 - no issues noted within watercourse.  september 12, 2015 - vegetation well established  - soils stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified.",no issues noted.,"august 2, 2017 - no issues noted.",,,
nw 33-83-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 5, 2014 - water has ponded on ditchline at screw anchor sites at multiple locations along the pipeline. july 12, 2104 - 80-85% vegetation establishment compared to off-row. - wetlands within tract are well vegetated and stable at this time.  2013 low vegetation issue resolved.","june 7, 2015 - vegetation developing well along row.  - no subsidence issues evident from aerial assessment. ponded water noted at screw anchors sites was no longer evident, issue resolved. - wetlands stable throughout tract. june 10, 2015 - vegetation on row is 85% comparable to off-row control. - perennial sow thistle at kp 10+340 and kp 10+450 to kp 10+760. recommend herbicide application. - roach stable with vegetation beginning to establish on it. cross drains are functioning well at this time. - wetlands within tract appear to be stable with good wet-tolerant vegetation establishment such as grasses and bulrushes. hydrology appears to be maintained through wetland as indicated by saturated, organic soils. - erosion across row at foreign pipeline crossing at kp 10+480. areas are vegetating at this time. continue to monitor. september 12, 2015 - vegetation well established. - noxious weed control no longer required at kp 10+340 and kp 10+450 to 10+760, continue to monitor in 2016 and implement weed control measures, as required. - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.","july 11, 2016 - vegetation is well established with desirable species throughout row.  good establishment of vetch, grasses and shrubs.  - no erosion or subsidence issues.  erosion noted in 2015 at kp 10+480 is no longer evident, issue resolved. - there has been recent disturbance on the east and west side of row. - intermittent herbicide application conducted to control perennial sow thistle.  september 21, 2016 - 90% vegetation established compared to off-row. - intermittent herbicide application conducted to control patches of perennial sow thistle along row at kp 10+400, kp 10+500 and kp 10+650.","september 11, 2017 - woody swamp on row from kp 10+130 to 10+350 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids and willow. hydrophytic vegetation emerging throughout wetland (common cattail & bulrush) with submergent vegetation establishing in standing water areas. - no noxious weeds were identified in wetland. - trench crown present through wetland but has settled due to influence from saturation. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through high moisture retention, uniform vegetation growth and good organic content in topsoil layer. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting fully saturated conditions; standing water present throughout wetland.  - wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
sw 4-84-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 12, 2014 - 70-80% vegetation establishment compared to off-row. minor patches of reduced vegetation cover present on row. - minor subsidences on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are well vegetated and stable at this time. - two scentless chamomile plants were handpicked, bagged, and disposed of on ditchline at kp 11+275. - erosion control berms are stable and well vegetated.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation on row is 80-85% comparable to off-row control.  low vegetation noted in 2013 is resolved. - perennial sow thistle found throughout majority of tract. recommend herbicide application. - row parallels open camp for northeast half of tract. - roach stable and showing vegetation establishment. cross drains are functioning well. - wetland within tract stable with good wet tolerant vegetation establishment. hydrology appears to be maintained as indicated through open water.  diversion berms leading to wetland appear to be functioning well with good vegetation establishment. - no subsidence or erosional issues evident within tract.  2013 subsidence noted at screw anchors resolved. september 12, 2015 - vegetation well established with low shrubs and willows throughout row  - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified. - intermittent herbicide application conducted to control perennial sow thistle, common tansy, and scentless chamomile.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of vetch, grasses and shrubs.  - no erosion or subsidence issues. - intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. - kp 11+300 to 11+400 – herbicide application conducted to control common tansy, foreign campsite to north of row likely source of weeds. september 21, 2016 - 90% vegetation established compared to off-row. - herbicide application conducted to control patches of perennial sow thistle at kp 10+850, kp 11+100, kp 11+200 and kp 11+500.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - perennial sow thistle (kp 10+800 to 11+300 and 11+550), tansy (kp 11+270 to 11+400), and scentless chamomile (kp 11+200 and 11+450) observed recommend weed control. - at kp 11+200 – foreign pipeline crossing, work was not completed at this time. august 13, 2017 – intermittent herbicide application conducted to control perennial sow thistle (kp 10+800 to 11+300 and 11+550), tansy (kp 11+270 to 11+400), and scentless chamomile (kp 11+200 and 11+450).  issue resolved. september 12, 2017 -woody swamp on row from kp 10+910 to 11+120 and kp 11+190 to 11+250 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of aspen, willow, poplar, broadleaf shrubs and herbaceous graminoids. - trench crown present through wetland but has settled over time. sufficient breaks present for hydrology to be maintained. slight area of subsidence at foreign pipeline crossing (kp 11+200), not a result of transcanada; no work required. - substrate in wetland appears healthy through uniform vegetation growth. humification occurring throughout wetland through the decomposing vegetation litter. low organic content in topsoil layer comparing with off-row conditions. - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. conifer species to emerge onto row over time as tertiary successional species; leave for natural recovery. overall, no net loss of wetland function was observed.",,,
nw 4-84-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 5, 2014 - good vegetation emergence along row. july 12, 2014 - 75-85% vegetation establishment compared to off-row. low vegetation noted in 2013 is resolved. - wetlands within tract are well vegetated and stable at this time.","june 7, 2015 - vegetation developing well along row.  - no subsidence issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation establishment appears to be 85% comparable to off-row control. - perennial sow thistle from kp 12+475 to kp 12+670. recommend herbicide application. - roach stable with good vegetation establishment. cross drains are functioning well at this time. - wetlands throughout tract stable with establishment of wetland indicative species such as sphagnum mosses and grasses. hydrology appears to be maintained as indicated through open water and saturated soils. - minor erosion, within cross drain at kp 12+050, monitor. september 12, 2015 - vegetation well established with low shrubs and willows throughout row - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified.  - intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of vetch and grasses.  - no erosion or subsidence issues.  erosion noted in 2015 at kp 12+050 is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle.  scentless chamomile no longer evident, issue resolved. september 21, 2016 - 80-90% vegetation established compared to off-row. - intermittent herbicide application conducted to control patches of perennial sow thistle. - stood up marker posts and transcanada sign at kp 12+200, issue resolved.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - perennial sow thistle (kp 12+000), tansy (kp 12+120) and scentless chamomile (kp 12+010) observed, recommend weed control. august 13, 2017 – intermittent herbicide application conducted to control perennial sow thistle (kp 12+000), tansy (kp 12+120) and scentless chamomile (kp 12+010).  issue resolved. september 12, 2017 – woody swamp on row from kp 12+600 to 12+690 and kp 12+790 to 12+870 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of aspen, willow, poplar, broadleaf shrubs, herbaceous graminoids, labrador tea and sphagnum mosses. - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled over time. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth. humification occurring throughout wetland through the decomposing vegetation litter. moderate organic content in topsoil layer, comparing with off-row conditions. - substrate exhibiting semi-saturated conditions, comparing with off-row conditions.  - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. conifer species to emerge onto row over time as tertiary successional species; leave for natural recovery. overall, no net loss of wetland function was observed.",,,
ne 4-84-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 12, 2014 - vegetation cover is 80% of off-row","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation throughout tract is 85% compared to off-row control. low vegetation noted in 2013 is resolved. - perennial sow thistle found throughout majority of tract. recommend herbicide application. - roach stable with vegetation establishing. cross drains are functioning well at this time. - no subsidence or erosional issues evident within tract. september 12, 2015 - vegetation well established with low shrubs and willows throughout row - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified. - intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.","july 11, 2016 - vegetation is well established with desirable species throughout row.  good establishment of vetch and grasses.  - no erosion or subsidence issues. - intermittent herbicide application to control perennial sow thistle throughout tract. september 21, 2016 - 80-90% vegetation established compared to off-row. - intermittent herbicide application conducted to control patches of perennial sow thistle.  scentless chamomile is no longer evident, issue resolved.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses and shrubs. - no subsidence or erosion issues were observed.  - kp 12+740 to 12+760 - perennial sow thistle observed, recommend weed control. august 13, 2017 - kp 12+740 to 12+760 – intermittent herbicide application conducted to control perennial sow thistle and tansy.  issue resolved.",,,
se-9-84-6 w4,mineral wetland / treed wetland / forested,low vegetation cover,"july 12, 2014 - vegetation cover 70-90% of off-row. low vegetation noted in 2013 is resolved. - wetlands throughout tract vegetation cover 80-90% of off-row.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation establishment is 90% comparable to off-row control. - perennial sow thistle at kp 12+750 and kp 13+050 to kp 13+280. recommend herbicide application. - roach stable with good vegetation establishment. cross drains appear to be functioning well at this time. - wetlands within tract stable with good wet-tolerant vegetation establishment. hydrology appears to be maintained indicated by standing water and saturated, organic soils. - no subsidence or erosional issues evident within tract. september 12, 2015 - vegetation well established with low shrubs and willows throughout row - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified. - herbicide application conducted to control perennial sow thistle.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of vetch and grasses.  - no erosion or subsidence issues. - kp 13+200 – recent disturbance at this location, with access gained from the east of the row. monitor in 2017. - intermittent herbicide application conducted to control perennial sow thistle throughout tract. september 21, 2016 - 90% vegetation established compared to off-row. - herbicide application conducted to control patches of perennial sow thistle at kp 13+000 and kp 13+370 and scentless chamomile at kp 13+470.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses and shrubs. - no subsidence or erosion issues were observed.  - kp 12+860 to 12+870, 13+120 to 13+140 and 13+250 - perennial sow thistle observed, recommend weed control. august 13, 2017 - kp 12+860 to 12+870, 13+120 to 13+140 and 13+250 – intermittent herbicide application conducted to control perennial sow thistle.  issue resolved.",,,
se-9-84-6 w4,forested,low vegetation cover,"july 12, 2014 - vegetation cover 70-90% of off-row. low vegetation noted in 2013 is resolved.","june 7, 2015 - vegetation developing well along row. - no subsidence or erosion issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation establishment is 90% compared to off-row control. - roach stable with good vegetation establishment. cross drains appear to be functioning well at this time. - no subsidence or erosional issues evident within tract. september 12, 2015 - vegetation well established with low shrubs and willows throughout row. - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified.  - perennial sow thistle identified and intermittent herbicide application conducted.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of vetch and grasses.  - no erosion or subsidence issues. - kp 13+200 – recent disturbance at this location, with access gained from the east of the row. monitor in 2017. - intermittent herbicide application conducted to control perennial sow thistle throughout tract. september 21, 2016 - 90% vegetation established compared to off-row. - herbicide application conducted to control patches of perennial sow thistle at kp 13+000 and kp 13+370 and scentless chamomile at kp 13+470.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses and shrubs. - no subsidence or erosion issues were observed.  - kp 12+860 to 12+870, 13+120 to 13+140 and 13+250 - perennial sow thistle observed, recommend weed control. august 13, 2017 - kp 12+860 to 12+870, 13+120 to 13+140 and 13+250 – intermittent herbicide application conducted to control perennial sow thistle.  issue resolved.",,,
ne-9-84-6 w4,mineral wetland / forested,low vegetation cover,,"june 7, 2015 - - wetlands within tract stable with good wetland indicative vegetation. hydrology appears to be maintained as indicated by standing water and saturated, organic soils.",,"september 12, 2017 - woody swamp on row from kp 13+750 to 13+920 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of aspen, willow, poplar, broadleaf shrubs, herbaceous graminoids, labrador tea and sphagnum mosses. - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled over time. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth. humification occurring throughout wetland through the decomposing vegetation litter. moderate organic content in topsoil layer, comparing with off-row conditions. - substrate exhibiting semi-saturated conditions, comparing with off-row conditions.  - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. conifer species to emerge onto row over time as tertiary successional species; leave for natural recovery. overall, no net loss of wetland function was observed.",,,
,forested,weeds,"july 5, 2014 - good vegetation emergence along row.  july 12, 2014 - vegetation cover is 70-80% of off-row throughout tract - kp 13+650 reduced vegetation cover at 40-50% of off-row - scentless chamomile from 14+000 to meter station at the end of section, recommend weed control. july 30, 2014 - hand-picked, bagged, and disposed of scentless chamomile located at kp 14+000 near the cheecham meter station.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands stable throughout tract. june 10, 2015 - vegetation establishment appears to be 75-85% compared to off-row control. low vegetation noted in 2013 and 2014 is resolved. - perennial sow thistle found from kp 13+840 to kp 14+290, where scentless chamomile was found around the perimeter of cheecham west meter station. recommend herbicide application. - roach stable with good vegetation establishment. cross drains appear to be functioning well. - no subsidence or erosional issues evident within tract. september 12, 2015  - vegetation was determined to be well established with low shrubs and willows throughout row. - noxious weed control no longer required from kp 13+840 to kp 14+290, continue to monitor in 2016 and implement weed control measures, as required. - soils and slopes stable with good vegetation cover, no subsidence or other integrity concerns were noted.  no additional environmental concerns were identified.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of vetch and grasses.  - no erosion or subsidence issues. - the recent wild fires have affected this tract. growth has re-established well.  - intermittent herbicide application conducted to control perennial sow thistle throughout entire tract. september 21, 2016 - 80-90% vegetation established compared to off-row. -intermittent herbicide application conducted to control patches of perennial sow thistle at kp 13+800, kp 13+900 and kp 14+100. - no noxious weeds observed within cheecham meter station at kp 14+250. no scentless chamomile evident on the row.  issues resolved.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed. - scentless chamomile (kp 13+330) and perennial sow thistle (kp 13+690 to 13+710 and 14+260) observed, recommend weed control. august 13, 2017 – intermittent herbicide application conducted to control scentless chamomile (kp 13+330) and perennial sow thistle (kp 13+690 to 13+710 and 14+260). issue resolved.",,,
