Legal Land Description,Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
B-014-I/094-I-11,Treed Bog,None,15.61 to 15.81,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-014-I/094-I-11,Forested,Moderate/High Vegetation Establishment,15.93 to 16.29,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-014-I/094-I-11 to B-013-I/094-I-11,Mixedwood Treed Swamp,None,15.98 to 16.38,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-013-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.29 to 16.33,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-003-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.33 to 16.66,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-003-I/094-I-11,Forested,Line-of-Sight Control,16.50,"The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The light of sight covers the entire right-of-way (Plate 4, Appendix B).",Monitor in 2015.,,,
D-003-I/094-I-11,Forested,Moderate/High Vegetation Establishment,16.66 to 17.02,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-003-I/094-I-11 to C-002-I/094-I-11,Mixedwood Treed Swamp,None,16.92 to 17.04,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-002-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.02 to 17.39,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-002-I/094-I-11,Forested,Rare Plant,17.1,15 bog adder’s-mouth orchid were observed.,Resolved – mitigation successful.,,,
C-002-I/094-I-11 to D-002-I/094-I-11,Treed Bog,None,17.04 to 17.41,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-002-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.39 to 17.76,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-002-I/094-I-11,Mixedwood Treed Swamp,None,17.41 to 17.67,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-001-I/094-I-11,Forested,Moderate/High Vegetation Establishment,17.76 to 18.12,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-001-I/094-I-11,Mixedwood Treed Swamp,None,17.75 to 17.95,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-001-I/094-I-11,Forested,Moderate/High Vegetation Establishment,18.12 to 18.49,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-001-I/094-I-11 to C-010-L/094-I-10,Treed Bog,None,18.4 to 18.57,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-010-L/094-I-10,Forested,Moderate/High Vegetation Establishment,18.49 to 18.85,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-010-L/094-I-10,Mixedwood Treed Swamp,None,18.57 to 18.84,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-010-L/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,18.757,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
D-010-L/094-I-10,Forested,Moderate/High Vegetation Establishment,18.85 to 19.22,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-010-L/094-I-10,Mixedwood Treed Swamp,None,19.00 to 19.14,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-010-L/094-I-10 to  C-009-L/094-I-10,Treed Bog,None,19.14 to 19.27,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-009-L/094-I-10,Forested,Moderate/High Vegetation Establishment,19.22 to 19.59,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-009-L/094-I-10,Mixedwood Treed Swamp,None,19.34 to 19.48,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-009-L/094-I-10 to  D-009-L/094-I-10,Treed Bog,None,19.48 to 19.61,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-009-L/094-I-10,Forested,Moderate/High Vegetation Establishment,19.59 to 19.63,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
D-009-L/094-I-10 to  A-009-L/094-I-10,Mixedwood Treed Swamp,None,19.61 to 19.86,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-009-L/094-I-10,Forested,Moderate/High Vegetation Establishment,19.63 to 19.95,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-009-L/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,19.757,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-008-L/094-I-10,Forested,Moderate/High Vegetation Establishment,19.95 to 20.32,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-008-L/094-I-10 to  A-008-L/094-I-10,Shrubby Swamp,None,20.20 to 20.50,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-008-L/094-I-10,Forested,Moderate/High Vegetation Establishment,20.32 to 20.72,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-007-L/094-I-10,Forested,Moderate/High Vegetation Establishment,20.72 to 21.01,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-007-L/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,20.76,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-007-L/094-I-10,Forested,High Vegetation Establishment,20.90  (Kyklo Creek),"The reclamation of Kyklo Creek was completed in compliance with the site-specific reclamation plan. Details are provided in Section 5.3. All silt fencing was removed in November 2014 (Plate 5, Appendix B).",Monitor in 2015.,,,
C-097-E/094-I-10,Forested,Moderate/High Vegetation Establishment,21.01 to 21.43,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
C-097-E/094-I-10 (cont’d),Mixedwood Treed Swamp,None,21.19 to 21.22,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-097-E/094-I-10 (cont’d),Mixedwood Treed Swamp,None,21.22 to 21.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
C-097-E/094-I-10 to  B-096-E/094-I-10,Seasonal Emergent Marsh,None,21.40 to 22.12,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
D-097-E/094-I-10,Forested,Moderate/High Vegetation Establishment,21.43 to 21.55,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-097-E/094-I-10,Forested,Moderate/High Vegetation Establishment,21.55 to 21.91,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-097-E/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,21.557,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-096-E/094-I-10,Forested,Moderate/High Vegetation Establishment,21.91 to 22.27,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-096-E/094-I-10,Forested,Line-of-Sight Control,22.10,"The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The line-of-sight covers the entire right-of-way (Plate 6, Appendix B).",Monitor in 2015.,,,
B-096-E/094-I-10 to  A-096-E/094-I-10,Mixedwood Treed Swamp,None,22.12 to 22.63,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-096-E/094-I-10,Forested,Moderate/High Vegetation Establishment,22.27 to 22.64,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-096-E/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,22.408,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
A-096-E/094-I-10 (cont’d),Seasonal Emergent Marsh,None,22.63 to 22.64,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-095-E/094-I-10,Forested,Moderate/High Vegetation Establishment,22.64 to 23.00,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-095-E/094-I-10,Treed Bog,None,22.64 to 22.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-095-E/094-I-10,Forested,Rare Plant,23.0,No slender mannagrass were observed.,Unresolved – habitat is suitable for this species. Monitor in 2016.,,,
B-095-E/094-I-10 to  A-095-E/094-I-10,Seasonal Emergent Marsh,None,22.90 to 23.13,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-095-E/094-I-10,Forested,Moderate/High Vegetation Establishment,23.00 to 23.36,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-095-E/094-I-10 to  A-094-E/094-I-10,Mixedwood Treed Swamp,None,23.34 to 23.82,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-094-E/094-I-10,Forested,Moderate/High Vegetation Establishment,23.36 to 23.73,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-094-E/094-I-10,Forested,Moderate/High Vegetation Establishment,23.73 to 24.09,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-094-E/094-I-10,Treed Bog,None,23.82 to 23.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-094-E/094-I-10 to  B-093-E/094-I-10,Mixedwood Treed Swamp,None,23.90 to 24.25,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-093-E/094-I-10,Forested,Moderate/High Vegetation Establishment,24.09 to 24.45,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-093-E/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,24.057,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014, with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-093-E/094-I-10 to  A-093-E/094-I-10,Shrubby Swamp,None,24.25 to 24.49,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-093-E/094-I-10,Forested,Moderate/High Vegetation Establishment,24.45 to 24.81,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-093-E/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,24.656,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
A-093-E/094-I-10 to  B-092-E/094-I-10,Mixedwood Treed Swamp,None,24.49 to 24.99,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-092-E/094-I-10,Forested,Moderate/High Vegetation Establishment,24.81 to 25.18,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-092-E/094-I-10,Forested,Rare Plant,25.1,No saxifrage species were observed.,Unresolved – habitat is suitable for this species. Monitor in 2016.,,,
B-092-E/094-I-10,Forested,Rare Plant,25.1,"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014.",No further monitoring necessary.,,,
B-092-E/094-I-10 to  B-100-F/094-I-10,Mixedwood Treed Swamp,None,25.14 to 26.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-092-E/094-I-10,Forested,Moderate/High Vegetation Establishment,25.18 to 25.54,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-092-E/094-I-10,Forested,Rare Plant,25.3,40 bog adder’s-mouth orchid were observed.,Resolved – mitigation successful.,,,
A-092-E/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,25.456,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-091-E/094-I-10,Forested,Moderate/High Vegetation Establishment,25.54 to 25.90,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-091-E/094-I-10,Forested,Moderate/High Vegetation Establishment,25.90 to 26.27,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-100-F/094-I-10,Forested,Moderate/High Vegetation Establishment,26.27 to 26.63,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-100-F/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,26.256 and 26.41,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug (Plates 7 and 8, Appendix B).",Monitor in 2015.,,,
B-100-F/094-I-10,Unnamed drainage to Kotcho River,Moderate/High Vegetation Establishment,26.50,Vegetation has established well at this watercourse. No erosion issues were observed. Silt fencing removed in November 2014.,Monitor vegetation establishment in 2015. Ensure banks remain stable and no erosion is occurring.,,,
B-100-F/094-I-10 to  A-100-F/094-I-10,Seasonal Emergent Marsh,None,26.30 to 26.71,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-100-F/094-I-10,Forested,Moderate/High Vegetation Establishment,26.63 to 26.99,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-100-F/094-I-10 to  B-098-F/094-I-10,Mixedwood Treed Swamp,None,26.78 to 27.86,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-099-F/094-I-10,Forested,Moderate/High Vegetation Establishment,26.99 to 27.35,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-099-F/094-I-10,Forested,Moderate/High Vegetation Establishment,27.35 to 27.72,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-098-F/094-I-10,Forested,Moderate/High Vegetation Establishment,27.72 to 28.08,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-098-F/094-I-10 to  A-098-F/094-I-10,Needle-Lead Treed Swamp,None,27.86 to 28.31,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-098-F/094-I-10,Forested,Moderate/High Vegetation Establishment,28.08 to 28.44,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-098-F/094-I-10,Forested,Rare Plant,28.1,No saxifrage species were observed.,Unresolved – habitat is suitable for this species. Monitor in 2016.,,,
A-098-F/094-I-10,Forested,Rare Plant,28.2,Three individual orange touch-me-not plants were located off the right-of-way in an existing right-of-way. These plants were not monitored because they are off the right-of-way.,No further monitoring necessary.,,,
A-098-F/094-I-10,Forested,Rare Plant,28.3,"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014.",No further monitoring necessary.,,,
A-098-F/094-I-10 to  B-097-F/094-I-10,Mixedwood Treed Swamp,None,28.31 to 28.59,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
B-097-F/094-I-10,Forested,Moderate/High Vegetation Establishment,28.44 to 28.81,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
B-097-F/094-I-10,Forested,Poor Vegetation Establishment/ Ditch Plug,28.654,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
B-097-F/094-I-10 to  A-097-F/094-I-10,Shrubby Swamp,None,28.59 to 28.91,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-097-F/094-I-10,Forested,Moderate/High Vegetation Establishment,28.81 to 29.11,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
A-097-F/094-I-10,Forested,Rare Plant,28.9,No saxifrage species were observed.,Unresolved – habitat is suitable for this species. Monitor in 2016.,,,
A-097-F/094-I-10,Mixedwood Treed Swamp,None,28.91 to 28.97,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on • the growth of the appropriate succession species; and  absence of excessive ponded water or impeded • flow due to the construction right-of-way.",Monitor in 2015.,,,
A-097-F/094-I-10 (cont’d),Forested,Poor Vegetation Establishment/ Ditch Plug,28.955,"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014, with the placement of organics over the bentonite plug.",Monitor in 2015.,,,
